Id,Course_Code,Course_Date,Headline,Source,Author,Publication_Date,Scientific_Field,Description,Scenario,Result,Conclusion,General_Concept,Specific_Concept,Url,Source1,Source2,Source_Type,,
15,199,2014-12-02,"Even Among Harvard Graduates,
Women Fall Short of Their Work
Expectations",New York Times,Claire Cain Miller,2014-11-30,NA,NA,NA,NA,NA,NA,NA,https://www.nytimes.com/2014/11/30/upshot/even-among-harvard-graduates-women-fall-short-of-their-work-expectations.html?rref=upshot&abt=0002&abg=0&smid=tw-upshotnyt&_r=0,NA,NA,NA,,
16,199,2014-12-02,"For Accomplished Students,
Reaching a Good College Isn’t as
Hard as It Seems",New York Times,Kevin Carey,2014-11-29,NA,NA,NA,NA,NA,NA,NA,https://www.nytimes.com/2014/11/30/upshot/for-accomplished-students-reaching-a-top-college-isnt-actually-that-hard.html?rref=upshot&smid=tw-upshotnyt&abt=0002&abg=0,NA,NA,NA,,
17,199,2014-12-02,"When Should You Shop? Right After
Black Friday",New York Times,Alan Flippen,2014-11-27,NA,NA,NA,NA,NA,NA,NA,https://www.nytimes.com/2014/11/28/upshot/when-should-you-shop-right-after-black-friday.html?rref=upshot&smid=tw-upshotnyt&abt=0002&abg=0,NA,NA,NA,,
18,199,2014-09-23,'Yes' campaign lead at 2 in Scottish Referendum,YouGov,Will Dahlgreen,2014-09-06,Politics,NA,The Sunday Times conducted a survey about Scottish independence referendum,YES at 51% and NO at 49%,'Yes' campaign has taken a 2 point lead,sampling,poll,https://yougov.co.uk/topics/politics/articles-reports/2014/09/06/latest-scottish-referendum-poll-yes-lead,NA,NA,NA,,
19,199,2014-09-23,More or less,BBC,Tim Harford,2014-06-13,Statistics,NA,Test if they share same birthday on 32 squads of 23 players at the World Cup,19% teams have people sharing brithday including 5 teams have two shared birthdays,The probability that two people share a birthday is larger than many people think.,probability,birthday problem,https://www.bbc.co.uk/sounds/play/b0460zn1,NA,NA,NA,,
20,199,2014-09-30,Hold the Phone:A Big-Data Conundrum,The New York Times,Sendhil Mullainathan,2014-07-26,Economics,NA,,,,,,https://www.nytimes.com/2014/07/27/upshot/hold-the-phone-a-big-data-conundrum.html?ref=techn ology&smid=tw-upshotnyt&_r=1&abt=0002&abg=0,NA,NA,NA,,
21,199,2014-09-30,"Debt risk, market turmoil threaten financial crisis",The Globe And Mail,DAVID PARKINSONE,2014-09-29,Economics,NA,,,,,,https://www.theglobeandmail.com/report-on-business/are-we-on-the-verge-of-another-financial- crisis/article20850810/ ,NA,NA,NA,,
22,199,2014-09-30,Don't Take Your Vitamins,FiveThirtyEight,Emily Oster,2014-09-08,Health,NA,,,,,,https://fivethirtyeight.com/features/dont-take-your-vitamins/ ,NA,NA,NA,,
23,199,2014-09-30,Public health officers tackle hazy issue of e-cigarettes ,The Globe And Mail,KAT SIENIUC,2014-09-28,Public Health,NA,,,,,,https://www.theglobeandmail.com/life/health-and-fitness/health/health-officials-set-rules-but- decisions-belong-to-each-person/article20809598/,NA,NA,NA,,
24,199,2014-09-30,The Economic Guide To Picking A College Major,FiveThirtyEight,Ben Casselman,2014-09-12,"Economics, Education",NA,,,,,,https://fivethirtyeight.com/features/the-economic-guide-to-picking-a-college-major/,NA,NA,NA,,
25,199,2014-10-07,A Frightening Curve: How Fast Is The Ebola Outbreak Growing?,npr,MICHAELEEN DOUCLEFF,2014-09-18,Health,NA,,,,,,https://www.npr.org/sections/goatsandsoda/2014/09/18/349341606/why-the-math-of-the-ebola- epidemic-is-so-scary,NA,NA,NA,,
26,199,2014-10-07,Blind data The tricky art of predicting Brazil’s election,The Economist,SÃO PAULO,2014-10-04,Politics,NA,,,,,,https://www.economist.com/the-americas/2014/10/04/blind-data,NA,NA,NA,,
27,199,2014-10-07,Spouse personality may affect career success,Reuters,Shereen Lehman,2014-09-30,Health,NA,,,,,,https://www.reuters.com/article/us-spouse-success-idUSKCN0HP2JY20140930,NA,NA,NA,,
28,199,2014-10-14,How much coffee do you drink? The answer could be in your genes,The Globe And Mail,MALCOLM RITTER,2014-10-08,Public Health,NA,,,,,,https://www.theglobeandmail.com/life/health-and-fitness/health/how-much-coffee-do-you-drink-the- answer-could-be-in-your-genes/article20986051/,NA,NA,NA,,
29,199,2014-10-14,Testing new Ebola tests,Science,Gretchen Vogel,2014-09-26,Public Health,NA,,,,,,https://science.sciencemag.org/content/345/6204/1549.full,NA,NA,NA,,
30,199,2014-10-14,Vast majority of Canadians in favour of assisted dying: poll,The Globe And Mail,Dave McGinn,2014-10-08,Health,NA,,,,,,https://www.theglobeandmail.com/life/health-and-fitness/health/vast-majority-of-canadians-in- favour-of-assisted-dying-poll/article20981301/,NA,NA,NA,,
31,199,2014-11-11,How a privacy advocate plans to corrupt online advertisers' data,The Globe And Mail,SUSAN KRASHINSKY,2014-11-06,Advertisment,NA,,,,,,https://www.theglobeandmail.com/report-on-business/industry-news/marketing/feeding-online- advertisers-with-decoy-data-for-protection/article21487009/,NA,NA,NA,,
32,199,2014-11-11,The rise of Mean World Syndrome in social media,The Globe And Mail,PETER NOWAK,2014-11-06,Psychology,NA,,,,,,https://www.theglobeandmail.com/life/relationships/the-rise-of-mean-world-syndrome-in-social- media/article21481089/,NA,NA,NA,,
33,199,2014-11-11,Will MOOCs be Flukes?,The New Yorker,Maria Konnikova,2014-11-07,Education,NA,,,,,,https://www.newyorker.com/science/maria-konnikova/moocs-failure-solutions,NA,NA,NA,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
